,Threshold,Precision,Recall,F1-score,TP,FP
0,0.06,0.5684931506849316,0.8736842105263158,0.6887966804979254,83.0,63.0
1,0.07,0.6307692307692307,0.8631578947368421,0.7288888888888888,82.0,48.0
2,0.08,0.6666666666666666,0.8631578947368421,0.7522935779816514,82.0,41.0
3,0.09,0.7068965517241379,0.8631578947368421,0.7772511848341233,82.0,34.0
4,0.1,0.7592592592592593,0.8631578947368421,0.8078817733990148,82.0,26.0
5,0.11,0.7941176470588235,0.8526315789473684,0.8223350253807108,81.0,21.0
6,0.12,0.801980198019802,0.8526315789473684,0.826530612244898,81.0,20.0
7,0.13,0.8181818181818182,0.8526315789473684,0.8350515463917525,81.0,18.0
8,0.15,0.8526315789473684,0.8526315789473684,0.8526315789473685,81.0,14.0
9,0.17,0.8709677419354839,0.8526315789473684,0.8617021276595744,81.0,12.0
10,0.18,0.8804347826086957,0.8526315789473684,0.8663101604278075,81.0,11.0
11,0.21,0.8901098901098901,0.8526315789473684,0.8709677419354839,81.0,10.0
12,0.24,0.9,0.8526315789473684,0.8756756756756757,81.0,9.0
13,0.25,0.9204545454545454,0.8526315789473684,0.8852459016393441,81.0,7.0
14,0.34,0.9310344827586207,0.8526315789473684,0.8901098901098902,81.0,6.0
15,0.35,0.9411764705882353,0.8421052631578947,0.8888888888888888,80.0,5.0
16,0.37,0.9518072289156626,0.8315789473684211,0.8876404494382022,79.0,4.0
17,0.47,0.9512195121951219,0.8210526315789474,0.8813559322033899,78.0,4.0
18,0.48,0.9629629629629629,0.8210526315789474,0.8863636363636364,78.0,3.0
19,0.49,0.9871794871794872,0.8105263157894737,0.8901734104046243,77.0,1.0
20,0.51,1.0,0.8105263157894737,0.8953488372093024,77.0,0.0
21,0.52,1.0,0.8,0.888888888888889,76.0,0.0
22,0.54,1.0,0.7894736842105263,0.8823529411764706,75.0,0.0
23,0.57,1.0,0.7789473684210526,0.8757396449704142,74.0,0.0
24,0.61,1.0,0.7684210526315789,0.869047619047619,73.0,0.0
25,0.65,1.0,0.7578947368421053,0.8622754491017963,72.0,0.0
26,0.69,1.0,0.7473684210526316,0.8554216867469879,71.0,0.0
27,0.7,1.0,0.7368421052631579,0.8484848484848484,70.0,0.0
28,0.71,1.0,0.7263157894736842,0.8414634146341463,69.0,0.0
29,0.72,1.0,0.7052631578947368,0.8271604938271605,67.0,0.0
30,0.73,1.0,0.6842105263157895,0.8125000000000001,65.0,0.0
31,0.74,1.0,0.6736842105263158,0.8050314465408805,64.0,0.0
32,0.75,1.0,0.6631578947368421,0.7974683544303798,63.0,0.0
33,0.78,1.0,0.6421052631578947,0.782051282051282,61.0,0.0
34,0.79,1.0,0.631578947368421,0.7741935483870968,60.0,0.0
35,0.81,1.0,0.6210526315789474,0.7662337662337663,59.0,0.0
36,0.84,1.0,0.5894736842105263,0.7417218543046357,56.0,0.0
37,0.85,1.0,0.5789473684210527,0.7333333333333334,55.0,0.0
38,0.86,1.0,0.5368421052631579,0.6986301369863014,51.0,0.0
39,0.88,1.0,0.5263157894736842,0.6896551724137931,50.0,0.0
40,0.89,1.0,0.5157894736842106,0.6805555555555556,49.0,0.0
41,0.9,1.0,0.5052631578947369,0.6713286713286714,48.0,0.0
